"","HandID","Timestamp","BigBlind","all-in","bets","calls","collected","posts","raises","Uncalled bet","profit","balance","profit_bb","balance_bb","running_sum","running_sum_bb"
"430","169404983100:  ",2017-04-22 13:05:41,0.02,0,0.18,0,0.18,0,0.08,0.18,0.1,-0.0300000000000002,5,10.5,0.91,44.7
"434","169405025948:  ",2017-04-22 13:06:31,0.02,0,0.14,0,0.14,0,0.06,0.14,0.08,0.0499999999999998,4,14.5,1,49.2
"438","169405052499:  ",2017-04-22 13:07:02,0.02,0,0,0.36,0,0,0,0,-0.36,-0.31,-18,-3.5,0.66,32.2
"440","169405097395:  ",2017-04-22 13:07:54,0.02,0,0,0,0,0,0.06,0,-0.06,-0.37,-3,-6.5,0.14,6.2
"441","169405144399:  ",2017-04-22 13:08:49,0.02,0,0,0.02,0,0,0,0,-0.02,-0.39,-1,-7.5,0.16,7.2
"442","169405160694:  ",2017-04-22 13:09:08,0.02,0,0,0,0.3,0,0.24,0.14,0.2,-0.19,10,2.5,0.32,15.2
"446","169405214903:  ",2017-04-22 13:10:11,0.02,0,0.1,0.04,0,0.02,0,0,-0.16,-0.35,-8,-5.5,0.18,8.2
"449","169405262960:  ",2017-04-22 13:11:08,0.02,0,0,0,0,0.01,0,0,-0.01,-0.36,-0.5,-6,0.18,8.2
"450","169405277263:  ",2017-04-22 13:11:24,0.02,0,0,0.06,0,0.02,0,0,-0.08,-0.44,-4,-10,2.22044604925031e-16,-0.800000000000001
"453","169405295927:  ",2017-04-22 13:11:46,0.02,0,0,0,0.09,0,0.08,0.06,0.07,-0.37,3.5,-6.5,0.55,26.7
"456","169405353851:  ",2017-04-22 13:12:53,0.02,0,0,0,0,0.01,0,0,-0.01,-0.38,-0.5,-7,0.55,26.7
"457","169405373213:  ",2017-04-22 13:13:15,0.02,0,0,0,0.05,0,0.06,0.04,0.03,-0.35,1.5,-5.5,0.77,37.7
"460","169405404061:  ",2017-04-22 13:13:52,0.02,0,0.04,0.02,0.06,0,0,0.04,0.04,-0.31,2,-3.5,0.78,38.2
"464","169405443558:  ",2017-04-22 13:14:38,0.02,0,0.02,0,0.09,0.02,0,0,0.05,-0.26,2.5,-1,0.85,41.7
"467","169405476222:  ",2017-04-22 13:15:16,0.02,0,0,0,0,0.01,0,0,-0.01,-0.27,-0.5,-1.5,0.86,42.2
"468","169405489573:  ",2017-04-22 13:15:32,0.02,0,0,0,0.05,0,0.08,0.06,0.03,-0.24,1.5,-4.55191440096314e-15,0.9,44.2
"471","169405518787:  ",2017-04-22 13:16:06,0.02,0.32,0.19,0.02,0.44,0,0,0.32,0.23,-0.0100000000000002,11.5,11.5,1.1,54.2
"477","169405571367:  ",2017-04-22 13:17:07,0.02,0,0.22,0,0.22,0,0.1,0.22,0.12,0.11,6,17.5,1.06,52.2
"481","169405626790:  ",2017-04-22 13:18:13,0.02,0,0,0,0.14,0,0.06,0,0.08,0.19,4,21.5,1.16,57.2
"483","169405668397:  ",2017-04-22 13:19:01,0.02,0,0,0,0,0.02,0,0,-0.02,0.17,-1,20.5,1.15,56.7
"484","169405685747:  ",2017-04-22 13:19:22,0.02,0,0.12,0.03,1.02,0.01,0.35,0,0.51,0.68,25.5,46,1.61,79.7
"490","169405693706:  ",2017-04-22 13:19:31,0.02,0,0,0,0,0.02,0,0,-0.02,0.66,-1,45,1.56,77.2
"491","169405723849:  ",2017-04-22 13:20:06,0.02,0,0,0,0,0.01,0,0,-0.01,0.65,-0.5,44.5,1.89,93.7
"492","169405825291:  ",2017-04-22 13:22:04,0.02,0,0.1,0.02,0.1,0,0,0.1,0.08,0.73,4,48.5,1.79,88.7
"496","169405871455:  ",2017-04-22 13:22:59,0.02,0,0.1,0.06,0,0,0,0,-0.16,0.57,-8,40.5,1.52,75.2
"498","169405951377:  ",2017-04-22 13:24:32,0.02,0,0,0.12,0,0,0.06,0,-0.18,0.39,-9,31.5,1.24,61.2
"500","169405973725:  ",2017-04-22 13:24:59,0.02,0,0,0.02,0.06,0,0,0,0.04,0.43,2,33.5,1.3,64.2
"502","169406045362:  ",2017-04-22 13:26:24,0.02,0,0.14,0,0.19,0,0.06,0.14,0.13,0.56,6.5,40,1.85,91.7
"506","169406058435:  ",2017-04-22 13:26:39,0.02,0,0.21,0,0.21,0.02,0.08,0.21,0.11,0.67,5.5,45.5,1.91,94.7
"511","169406103421:  ",2017-04-22 13:27:33,0.02,0,0,0,0.02,0.02,0,0.01,0.01,0.68,0.5,46,1.96,97.2
"514","169406116664:  ",2017-04-22 13:27:49,0.02,0,0,0,0,0.01,0,0,-0.01,0.67,-0.5,45.5,1.92,95.2
"515","169406121233:  ",2017-04-22 13:27:55,0.02,0,0,0,0,0.01,0,0,-0.01,0.66,-0.5,45,1.98,98.2
"516","169406136382:  ",2017-04-22 13:28:12,0.02,0,0.1,0,0.14,0,0.06,0.1,0.08,0.74,4,49,2.16,107.2
"520","169406142144:  ",2017-04-22 13:28:19,0.02,0,0.02,0.08,0,0,0,0,-0.1,0.64,-5,44,2.07,102.7
"523","169406261236:  ",2017-04-22 13:30:42,0.02,0,0,0.04,0.18,0,0,0,0.14,0.78,7,51,2.73,135.7
"526","169406290190:  ",2017-04-22 13:31:17,0.02,0,0,0.02,0,0,0,0,-0.02,0.76,-1,50,2.66,132.2
"527","169406345327:  ",2017-04-22 13:32:23,0.02,0,0.09,0.02,0.09,0,0,0.09,0.07,0.83,3.5,53.5,2.61,129.7
"531","169406404786:  ",2017-04-22 13:33:34,0.02,0,0,0.02,0,0,0,0,-0.02,0.81,-1,52.5,1.75,86.7
"532","169406421958:  ",2017-04-22 13:33:55,0.02,0,0,0,0.04,0.01,0.06,0.04,0.01,0.82,0.5,53,1.8,89.2
"536","169406460285:  ",2017-04-22 13:34:40,0.02,0,0.13,0,0,0,0.06,0,-0.19,0.63,-9.5,43.5,1.63,80.7
"538","169406462745:  ",2017-04-22 13:34:43,0.02,0,0,0.04,0,0.02,0,0,-0.06,0.57,-3,40.5,1.58,78.2
"540","169406526613:  ",2017-04-22 13:35:54,0.02,0,0.28,0.13,0.28,0,0,0.28,0.15,0.72,7.5,48,1.79,88.7
"545","169406535917:  ",2017-04-22 13:36:05,0.02,0,0,0,0,0.01,0,0,-0.01,0.71,-0.5,47.5,1.43,70.7
"546","169406576378:  ",2017-04-22 13:36:53,0.02,0,0.16,0,0.18,0,0.06,0.16,0.12,0.83,6,53.5,1.61,79.7
"550","169406618091:  ",2017-04-22 13:37:44,0.02,0,0.06,0.02,0,0,0,0,-0.08,0.75,-4,49.5,1.55,76.7
"552","169406638746:  ",2017-04-22 13:38:08,0.02,0,0,0.02,0,0,0,0,-0.02,0.73,-1,48.5,1.55,76.7
"553","169406733835:  ",2017-04-22 13:40:02,0.02,0,0,0,0,0.02,0,0,-0.02,0.71,-1,47.5,1.54,76.2
"554","169406755101:  ",2017-04-22 13:40:28,0.02,0,0,0,0.05,0,0.06,0.04,0.03,0.74,1.5,49,1.61,79.7
"557","169406785488:  ",2017-04-22 13:41:05,0.02,0,0.05,0.02,0.07,0,0,0.05,0.05,0.79,2.5,51.5,1.63,80.7
"561","169406793627:  ",2017-04-22 13:41:15,0.02,0,0,0,0,0.01,0,0,-0.01,0.78,-0.5,51,1.5,74.2
"562","169406844592:  ",2017-04-22 13:42:17,0.02,0,0.12,0,0,0,0.06,0,-0.18,0.6,-9,42,1.38,68.2
"564","169406904343:  ",2017-04-22 13:43:30,0.02,0,0,0,0,0.02,0,0,-0.02,0.58,-1,41,1.37,67.7
"565","169406929921:  ",2017-04-22 13:44:01,0.02,0,0,0,0,0.01,0,0,-0.01,0.57,-0.5,40.5,1.18,58.2
"566","169407020373:  ",2017-04-22 13:45:51,0.02,0,0,0,0,0,0.04,0,-0.04,0.53,-2,38.5,1.21,59.7
"567","169407026028:  ",2017-04-22 13:45:58,0.02,0,0,0,0.05,0,0.06,0.04,0.03,0.56,1.5,40,1.19,58.7
"570","169407101053:  ",2017-04-22 13:47:30,0.02,0,0,0,0,0.02,0,0,-0.02,0.54,-1,39,0.96,47.2
"571","169407131369:  ",2017-04-22 13:48:07,0.02,0,0,0.01,0,0.01,0,0,-0.02,0.52,-1,38,0.96,47.2
"573","169407154907:  ",2017-04-22 13:48:36,0.02,0,0,0,0,0,0.06,0,-0.06,0.46,-3,35,0.99,48.7
"574","169407236952:  ",2017-04-22 13:50:17,0.02,0,0,0.02,0,0,0,0,-0.02,0.44,-1,34,0.99,48.7
"575","169407255349:  ",2017-04-22 13:50:40,0.02,0,0,0,0,0.02,0,0,-0.02,0.42,-1,33,0.99,48.7
"576","169407315690:  ",2017-04-22 13:51:55,0.02,0,0.04,0.01,0.08,0.01,0,0.02,0.04,0.46,2,35,0.94,46.2
"582","169407349537:  ",2017-04-22 13:52:38,0.02,0,0.12,0.04,0.39,0,0,0,0.23,0.69,11.5,46.5,1.19,58.7
"585","169407401386:  ",2017-04-22 13:53:43,0.02,0,0.25,0.02,0.56,0,0,0,0.29,0.98,14.5,61,1.5,74.2
"589","169407413428:  ",2017-04-22 13:53:58,0.02,0,0,0.06,0,0,0,0,-0.06,0.92,-3,58,1.45,71.7
"590","169407488192:  ",2017-04-22 13:55:38,0.02,0,0,0.06,0,0.02,0,0,-0.08,0.84,-4,54,1.35,66.7
"593","169407553266:  ",2017-04-22 13:57:25,0.02,0,0.25,0.04,0,0,0.06,0,-0.35,0.49,-17.5,36.5,0.91,44.7
"596","169407589902:  ",2017-04-22 13:58:25,0.02,0,0.08,0.01,0.08,0.01,0,0.08,0.06,0.55,3,39.5,0.82,40.2
"601","169407603035:  ",2017-04-22 13:58:46,0.02,0,0,0,0,0.02,0,0,-0.02,0.53,-1,38.5,0.77,37.7
"602","169407629676:  ",2017-04-22 13:59:29,0.02,0,0,0.05,0,0.01,0,0,-0.06,0.47,-3,35.5,0.77,37.7
"604","169407656657:  ",2017-04-22 14:00:07,0.02,0,0,0.02,0,0,0,0,-0.02,0.45,-1,34.5,0.66,32.2
"605","169407671241:  ",2017-04-22 14:00:29,0.02,0,0,0.02,0,0,0,0,-0.02,0.43,-1,33.5,0.66,32.2
"606","169407807240:  ",2017-04-22 14:03:32,0.02,0,0,0,0,0.02,0,0,-0.02,0.41,-1,32.5,0.59,29.5
"607","169407823620:  ",2017-04-22 14:03:52,0.02,0,0,0,0,0.01,0,0,-0.01,0.4,-0.5,32,0.41,20.5
"608","169407851278:  ",2017-04-22 14:04:27,0.02,0,0,0.02,0.44,0,0.59,0.39,0.22,0.62,11,43,0.55,27.5
"614","169529566403:  ",2017-04-25 05:49:36,0.02,0,0,0.02,0,0,0,0,-0.02,0.6,-1,42,0.46,23
"615","169529585755:  ",2017-04-25 05:50:27,0.02,0,0.36,0,0.48,0,0.06,0.24,0.3,0.9,15,57,0.78,39
"620","169529600189:  ",2017-04-25 05:51:04,0.02,0,0,0,0,0.02,0,0,-0.02,0.88,-1,56,0.78,39
"621","169529625493:  ",2017-04-25 05:52:11,0.03,0,0,0.1,0,0,0,0,-0.1,0.78,-3.3,52.7,0.67,35.2
"623","169529633499:  ",2017-04-25 05:52:32,0.02,0,0,0.01,0.04,0.01,0,0,0.02,0.8,1,53.7,0.7,36.7
"626","169529650561:  ",2017-04-25 05:53:16,0.02,0,0.08,0,0.13,0.02,0.06,0.08,0.05,0.85,2.5,56.2,0.67,35.2
"631","169529655776:  ",2017-04-25 05:53:29,0.02,0,0,0,0.05,0,0.06,0.04,0.03,0.88,1.5,57.7,0.67,35.2
"634","169529669605:  ",2017-04-25 05:54:05,0.02,0,0,0,0.07,0,0.06,0.04,0.05,0.93,2.5,60.2,0.69,36.2
"637","169529675606:  ",2017-04-25 05:54:21,0.02,0,0,0,0,0.01,0,0,-0.01,0.92,-0.5,59.7,0.7,36.7
"638","169529697446:  ",2017-04-25 05:55:21,0.02,0,0,0.02,0,0,0,0,-0.02,0.9,-1,58.7,0.61,32.2
"639","169529740231:  ",2017-04-25 05:57:27,0.02,0,0,0.02,0,0,0,0,-0.02,0.88,-1,57.7,0.58,30.7
"640","169529757973:  ",2017-04-25 05:58:19,0.02,0,0,0,0,0.02,0,0,-0.02,0.86,-1,56.7,0.57,30.2
"641","169529768090:  ",2017-04-25 05:58:48,0.02,0,0,0.01,0,0.01,0,0,-0.02,0.84,-1,55.7,0.48,25.7
"643","169529799186:  ",2017-04-25 06:00:18,0.02,0,0,0.01,0,0.01,0,0,-0.02,0.82,-1,54.7,0.45,24.2
"645","169529827020:  ",2017-04-25 06:01:34,0.02,0,0.28,0.07,0.28,0,0.06,0.28,0.15,0.97,7.5,62.2,0.61,32.2
"650","169529888058:  ",2017-04-25 06:04:11,0.02,0,0,0,0.02,0.02,0,0.01,0.01,0.98,0.5,62.7,0.64,33.7
"653","169529894150:  ",2017-04-25 06:04:26,0.02,0,0,0,0,0.01,0,0,-0.01,0.97,-0.5,62.2,0.64,33.7
"654","169529906451:  ",2017-04-25 06:04:58,0.02,0,0,0.02,0,0,0,0,-0.02,0.95,-1,61.2,0.68,35.7
"655","169529912624:  ",2017-04-25 06:05:14,0.02,0,0,0,0,0.02,0,0,-0.02,0.93,-1,60.2,0.61,32.2
"656","169529944070:  ",2017-04-25 06:06:35,0.02,0,0,0,0,0.01,0,0,-0.01,0.92,-0.5,59.7,0.55,29.2
"657","169529959449:  ",2017-04-25 06:07:14,0.02,0,0,0.02,0,0.02,0,0,-0.04,0.88,-2,57.7,0.48,25.7
"659","169529987929:  ",2017-04-25 06:08:27,0.02,0,0,0,0,0.01,0,0,-0.01,0.87,-0.5,57.2,0.49,26.2
"660","169529996930:  ",2017-04-25 06:08:50,0.02,0,0,0,0.05,0,0.06,0.04,0.03,0.9,1.5,58.7,0.53,28.2
"663","169530003178:  ",2017-04-25 06:09:06,0.02,0,0,0.02,0,0,0,0,-0.02,0.88,-1,57.7,1.03,53.2
"664","169530006396:  ",2017-04-25 06:09:14,0.02,0,0,0.02,0,0,0,0,-0.02,0.86,-1,56.7,0.91,47.2
"665","169530069118:  ",2017-04-25 06:11:54,0.02,0,0.04,0,0,0.02,0,0,-0.06,0.8,-3,53.7,0.93,48.2
"667","169562774420:  ",2017-04-25 19:44:12,0.02,0,0,0,0,0.02,0,0,-0.02,0.78,-1,52.7,0.81,42.2
"668","169562794164:  ",2017-04-25 19:44:48,0.02,0,0,0,0,0.01,0,0,-0.01,0.77,-0.5,52.2,0.72,37.7
"669","169562881398:  ",2017-04-25 19:47:29,0.02,0,0,0.02,0,0,0,0,-0.02,0.75,-1,51.2,1.06,54.7
"670","169562963411:  ",2017-04-25 19:50:02,0.02,0,0,0,0,0.02,0,0,-0.02,0.73,-1,50.2,1.1,56.7
"671","169563000315:  ",2017-04-25 19:51:11,0.03,0,0,0,0,0.01,0,0,-0.01,0.72,-0.3,49.9,1.11,57.4
"672","169563017475:  ",2017-04-25 19:51:44,0.02,0,0,0,0,0.02,0,0,-0.02,0.7,-1,48.9,0.89,46.4
"673","169563033047:  ",2017-04-25 19:52:13,0.02,0,0,0,0,0.01,0,0,-0.01,0.69,-0.5,48.4,1.04,53.9
"674","169563042446:  ",2017-04-25 19:52:32,0.02,0,0.12,0.07,0.22,0,0,0.12,0.15,0.84,7.5,55.9,1.2,61.9
"678","169563072696:  ",2017-04-25 19:53:30,0.02,0,0.04,0.02,0.06,0,0,0.04,0.04,0.88,2,57.9,1.32,67.9
"682","169563077013:  ",2017-04-25 19:53:38,0.02,0,0,0.02,0.05,0,0,0,0.03,0.91,1.5,59.4,1.28,65.9
"684","169563119929:  ",2017-04-25 19:55:00,0.02,0,0,0.26,0,0,0,0,-0.26,0.65,-13,46.4,1.03,53.4
"687","169563159800:  ",2017-04-25 19:56:28,0.02,0,0,0,0.07,0,0.06,0.04,0.05,0.7,2.5,48.9,1.05,54.4
"690","169563168499:  ",2017-04-25 19:56:48,0.02,0,0,0.02,0,0,0,0,-0.02,0.68,-1,47.9,0.99,51.4
"691","169563194505:  ",2017-04-25 19:57:39,0.02,0,0.1,0.08,0.19,0.02,0,0.1,0.0900000000000001,0.77,4.5,52.4,1.03,53.4
"697","169563207229:  ",2017-04-25 19:58:08,0.02,0,0.03,0.09,0.28,0.02,0,0,0.14,0.91,7,59.4,1.18,60.9
"702","169563214936:  ",2017-04-25 19:58:25,0.02,0,0,0,0,0.01,0,0,-0.01,0.9,-0.5,58.9,1.14,58.9
"703","169563224195:  ",2017-04-25 19:58:46,0.02,0,0,0.06,0,0,0,0,-0.06,0.84,-3,55.9,0.85,44.4
"704","169563244617:  ",2017-04-25 19:59:32,0.02,0,0,0,0,0.01,0,0,-0.01,0.83,-0.5,55.4,0.72,37.9
"705","169563269724:  ",2017-04-25 20:00:29,0.02,0,0,0,0,0,0.06,0,-0.06,0.77,-3,52.4,0.58,30.9
"706","169563280471:  ",2017-04-25 20:00:52,0.02,0,0,0,0.05,0,0.06,0.04,0.03,0.8,1.5,53.9,0.63,33.4
"709","169563302494:  ",2017-04-25 20:01:37,0.02,0,0,0.07,0.38,0,0.12,0,0.19,0.99,9.5,63.4,0.31,17.4
"713","169563358435:  ",2017-04-25 20:03:28,0.02,0,0,0,0,0.02,0,0,-0.02,0.97,-1,62.4,0.31,17.4
"714","169563360614:  ",2017-04-25 20:03:32,0.02,0,0,0.02,0,0,0,0,-0.02,0.95,-1,61.4,0.3,16.9
"715","169563381609:  ",2017-04-25 20:04:13,0.02,0,0,0,0,0.01,0,0,-0.01,0.94,-0.5,60.9,0.21,12.4
"716","169563407682:  ",2017-04-25 20:05:04,0.02,0,0,0.02,0,0,0,0,-0.02,0.92,-1,59.9,0.35,19.4
"717","169563418347:  ",2017-04-25 20:05:25,0.02,0,0.03,0.02,0.05,0,0,0.03,0.03,0.95,1.5,61.4,0.56,29.9
"721","169563427135:  ",2017-04-25 20:05:42,0.02,0,0,0,0,0.02,0,0,-0.02,0.93,-1,60.4,0.5,26.9
"722","169563453481:  ",2017-04-25 20:06:33,0.02,0,0,0,0,0.01,0,0,-0.01,0.92,-0.5,59.9,0.36,19.9
"723","169563460631:  ",2017-04-25 20:06:47,0.02,0,0.07,0,0.14,0,0.06,0.07,0.08,1,4,63.9,0.33,18.4
"727","169563472858:  ",2017-04-25 20:07:11,0.02,0,0.03,0.02,0.07,0,0,0.03,0.05,1.05,2.5,66.4,0.37,20.4
"731","169563481289:  ",2017-04-25 20:07:28,0.02,0,0,0.02,0,0,0,0,-0.02,1.03,-1,65.4,0.36,19.9
"732","169563540481:  ",2017-04-25 20:09:25,0.02,0,0,0.02,0,0,0,0,-0.02,1.01,-1,64.4,0.35,19.4
"733","169563566469:  ",2017-04-25 20:10:17,0.02,0,0,0.1,0.21,0,0,0,0.11,1.12,5.5,69.9,0.38,20.9
"737","169563595639:  ",2017-04-25 20:10:59,0.02,0,0,0,0,0.02,0,0,-0.02,1.1,-1,68.9,0.46,24.9
"738","169563615062:  ",2017-04-25 20:11:38,0.02,0,0,0,0,0.01,0,0,-0.01,1.09,-0.5,68.4,0.31,17.4
"739","169563648139:  ",2017-04-25 20:12:44,0.02,0,0,0,0,0,0.06,0,-0.06,1.03,-3,65.4,0.27,15.4
"740","169563709981:  ",2017-04-25 20:14:48,0.02,0,0,0.27,0.54,0,0,0,0.27,1.3,13.5,78.9,0.47,25.4
"745","169563729576:  ",2017-04-25 20:15:28,0.02,0,0,0,0.02,0.02,0,0.01,0.01,1.31,0.5,79.4,0.5,26.9
"748","169563743883:  ",2017-04-25 20:15:57,0.02,0,0,0,0,0.01,0,0,-0.01,1.3,-0.5,78.9,0.48,25.9
"749","169563771253:  ",2017-04-25 20:16:52,0.02,0,0,0.02,0,0,0,0,-0.02,1.28,-1,77.9,0.65,34.4
"750","169563781355:  ",2017-04-25 20:17:13,0.02,0,0,0,0,0.02,0,0,-0.02,1.26,-1,76.9,0.69,36.4
"751","169563801895:  ",2017-04-25 20:17:54,0.02,0,0,0,0,0.01,0,0,-0.01,1.25,-0.5,76.4,0.53,28.4
"752","169563816909:  ",2017-04-25 20:18:25,0.02,0,0.06,0.02,0,0,0,0,-0.08,1.17,-4,72.4,0.46,24.9
"754","169563860826:  ",2017-04-25 20:19:54,0.02,0,0.08,0,0.13,0,0.06,0.08,0.07,1.24,3.5,75.9,0.41,22.4
"758","169563886195:  ",2017-04-25 20:20:46,0.02,0,0.08,0.04,0,0,0,0,-0.12,1.12,-6,69.9,0.37,20.4
"761","169563958265:  ",2017-04-25 20:23:14,0.02,0,0,0.02,0,0,0,0,-0.02,1.1,-1,68.9,0.37,20.4
"762","169563988546:  ",2017-04-25 20:24:16,0.03,0,0,0,0,0.02,0,0,-0.02,1.08,-0.7,68.2,0.37,20.7
"763","169564026834:  ",2017-04-25 20:25:36,0.02,0,0.07,0,0,0,0.06,0,-0.13,0.95,-6.5,61.7,0.21,12.7
"765","169564055722:  ",2017-04-25 20:26:37,0.02,0,0,0,0,0.02,0,0,-0.02,0.93,-1,60.7,0.14,9.2
"766","169564068443:  ",2017-04-25 20:27:03,0.02,0,0.1,0.02,0,0,0.36,0,-0.48,0.45,-24,36.7,-0.33,-14.3
"770","169564113078:  ",2017-04-25 20:28:37,0.02,0,0,0,0,0.01,0,0,-0.01,0.44,-0.5,36.2,-0.16,-5.8
"771","169564138235:  ",2017-04-25 20:29:29,0.02,0,0,0.03,0,0.02,0,0,-0.05,0.39,-2.5,33.7,-0.19,-7.3
"773","169564172625:  ",2017-04-25 20:30:41,0.02,0,0.02,0.01,0.04,0.01,0,0.02,0.02,0.41,1,34.7,-0.16,-5.8
"778","169564417111:  ",2017-04-25 20:39:24,0.02,0,0.1,0.04,0,0.02,0,0,-0.16,0.25,-8,26.7,-0.28,-11.8
"781","169564466631:  ",2017-04-25 20:41:10,0.02,0,0.06,0.01,0.08,0.01,0,0.06,0.06,0.31,3,29.7,-0.25,-10.3
"786","169564490937:  ",2017-04-25 20:42:00,0.02,0,0.16,0.02,0.6,0,0.62,0.54,0.34,0.65,17,46.7,0.11,7.7
"792","169564570967:  ",2017-04-25 20:44:55,0.02,0,0.06,0.02,0.07,0,0,0.06,0.05,0.7,2.5,49.2,0.18,11.2
"796","169564702421:  ",2017-04-25 20:49:25,0.02,0,0.08,0,0.22,0.02,0,0,0.12,0.82,6,55.2,0.36,20.2
"800","169564721808:  ",2017-04-25 20:50:07,0.02,0,0,0,0,0.02,0,0,-0.02,0.8,-1,54.2,0.36,20.2
"801","169564737518:  ",2017-04-25 20:50:43,0.02,0,0,0,0,0.01,0,0,-0.01,0.79,-0.5,53.7,0.37,20.7
"802","169564761662:  ",2017-04-25 20:51:36,0.02,0,0,0,0,0.01,0,0,-0.01,0.78,-0.5,53.2,0.32,18.2
"803","169564779270:  ",2017-04-25 20:52:16,0.03,0,0.14,0.02,0.18,0,0,0.09,0.11,0.89,3.7,56.9,0.2,10.4
"808","169564898938:  ",2017-04-25 20:57:00,0.02,0,0,0,0,0.02,0,0,-0.02,0.87,-1,55.9,-0.11,-5.09999999999999
"809","169564918642:  ",2017-04-25 20:57:52,0.02,0,0,0,0,0.01,0,0,-0.01,0.86,-0.5,55.4,-0.0599999999999996,-2.59999999999999
"810","169564943366:  ",2017-04-25 20:58:58,0.02,0,0.04,0,0.06,0.02,0,0.04,0.04,0.9,2,57.4,0.0600000000000004,3.40000000000001
